Project ID,Project Name,Owner,Address,City/State,Latitude,Longitude,Total GLA,Year Built,Lot Size Acres,Parking Count,Parking Ratio / 1000 SF,Tenant Count,Tenant Count 0-3k,Tenant Count 3k-10k,Tenant Count 10k+,Grocery Tenant,Grocery SF,Grocery % GLA,Food,Food %,Hard Goods,Hard Goods %,Service,Service %,Soft Goods,Soft Goods %,Other,Other %,Vacancy,Vacancy %,Source Demographic Radius,5-Mile Population,5-Mile Income,3-Mile Population,3-Mile Income,ADT,Annual Visits,PDF File,PDF Path,Site Plan Page,Site Plan Image Path
TJ_PEABODY,Peabody Place,Chase Properties,"300 Andover St, Peabody, MA 01960","Peabody, MA",42.5493386,-70.9545331,242787,1984,15.88,,,17,5,7,5,Trader Joe’s,12400,5.1073575,26746,11.01624057301255,187341,77.16269816752956,18634,7.6750403,10066,4.146021,0,0,0,0,5 Mile,197319,89935,,,,,30-LeasingKit.pdf,pdfs/30-LeasingKit.pdf,,site_plan_images/TJ_Peabody.png
TJ_SAUGUS,Shops at Saugus,Regency Centers,"334 Broadway / Route 1, Saugus, MA 01906","Saugus, MA",42.483633,-71.018139,94393,2008,10.62,,,19,12,4,3,Trader Joe’s,11000,11.65340650260082,25988,27.53170256269003,41959,44.45138940387528,21393,22.66375684637632,5053,5.3531512,0,0,0,0,3 Mile,96939,149844,,,115030,2375181,Property-Brochure-Shops-at-Saugus.pdf,pdfs/Property-Brochure-Shops-at-Saugus.pdf,,site_plan_images/TJ_Saugus.png
TJ_SHREWSBURY,77 Boston Turnpike Retail / Medical Space,Eastern Retail Properties,"77 Boston Turnpike, Shrewsbury, MA 01545","Shrewsbury, MA",42.2754264,-71.7512608,72313,1988,8.81,377,5.213447098032166,13,8,3,2,Trader Joe’s,13338,18.44481628476207,42878,59.29500919613347,2360,3.2635902,17855,24.69127266190035,0,0,6507,8.998382,0,0,5 Mile,249845,84875,,,35375,,Shrewsbury_MA_77_Boston_Tpke_3.pdf,pdfs/Shrewsbury_MA_77_Boston_Tpke_3.pdf,,site_plan_images/TJ_Shrewsbury.png
REG001,Aldi Square,Regency Centers,"70-78 Pershing Dr, Derby, CT 06418","Derby, CT",41.3306001,-73.0848279,37791,,,,,7,4,3,1,ALDI,19069,50.45910401947553,21433,56.714561668122045,3200,8.467624566695774,7534,19.935963589214364,0,0,1424,3.768092932,4200,11.113757243788204,3 Mile,,,53878,107378,17583,1021303,Property-Brochure-Aldi-Square.pdf,pdfs/Property-Brochure-Aldi-Square.pdf,2,site_plan_images/reg001-aldi-square-site-plan.png
REG002,Anastasia Plaza,Regency Centers,"1033 A1A Beach Blvd, St. Augustine, FL 32080","St. Augustine, FL",29.8611172,-81.2773854,102551,,,,,24,19,4,1,PUBLIX LIQUORS; PUBLIX,57064,55.64450858597185,71856,70.06855125742314,0,0,2814,2.7440005460697603,7633,7.443125859328529,20248,19.744322337178573,0,0,3 Mile,,,25590,122688,60461,2124457,Property-Brochure-Anastasia-Plaza.pdf,pdfs/Property-Brochure-Anastasia-Plaza.pdf,2,site_plan_images/reg002-anastasia-plaza-site-plan.png
REG003,Armonk Square,Regency Centers,"400-402 Main St & 17 Maple Ave, Armonk, NY 10504","Armonk, NY",41.126014,-73.713062,47526,,,,,9,6,3,1,DECICCO & SONS,21000,44.18634010857215,23325,49.07839919202121,0,0,3191,6.714219585069225,1410,2.966797121575558,7650,16.096452468122713,1950,4.103017295795985,3 Mile,,,14377,359968,,0,Property-Brochure-Armonk-Square.pdf,pdfs/Property-Brochure-Armonk-Square.pdf,2,site_plan_images/reg003-armonk-square-site-plan.png
REG004,Ashburn Farm Village Center,Regency Centers,"43761 Parkhurst Plaza, Ashburn, VA 20147","Ashburn, VA",39.0291477,-77.4863604,91620,,,,,12,7,3,2,,0,0,2924,3.1914429163938003,0,0,34802,37.98515607945863,2400,2.619515389652914,45260,49.39969438987121,0,0,3 Mile,,,97664,217629,20519,1308986,Property-Brochure-Ashburn-Farm-Village-Center.pdf,pdfs/Property-Brochure-Ashburn-Farm-Village-Center.pdf,2,site_plan_images/reg004-ashburn-farm-village-center-site-plan.png
REG005,Cashmere Corners,Regency Centers,"870 St. Lucie W Blvd, Port St. Lucie, FL 34986","Port St. Lucie, FL",27.3167103,-80.3775805,87868,,,,,14,10,3,1,Walmart,45880,52.21468566,62296,70.89725497,0,0,21504,24.47307325,1050,1.19497428,1053,1.1984,1965,2.2363090089679973,3 Mile,,,79422,100452,54374,1951828,Property-Brochure-Cashmere-Corners.pdf,pdfs/Property-Brochure-Cashmere-Corners.pdf,2,site_plan_images/reg005-cashmere-corners-site-plan.png
REG006,Fellsway Plaza,Regency Centers,"630-760 Fellsway, Medford, MA 02155","Medford, MA",42.409006,-71.085375,158004,,,,,20,8,11,3,STOP & SHOP,61054,38.6407939,73554,46.55198602567024,0,0,27517,17.41538189,6402,4.051796157059314,46460,29.40431887800309,6893,4.362547783600415,3 Mile,,,375326,156787,55581,3689518,Property-Brochure-Fellsway-Plaza.pdf,pdfs/Property-Brochure-Fellsway-Plaza.pdf,2,site_plan_images/reg006-fellsway-plaza-site-plan.png
REG007,John's Creek Center,Regency Centers,"2845 County Rd 210 W, St. Augustine, FL 32092","St. Augustine, FL",30.058207,-81.53144,82007,,,,,17,15,1,1,PUBLIX,45747,55.78426231907032,52747,64.32011901,0,0,13000,15.852305291011742,1400,1.7071713390320338,10101,12.317241211116125,0,0,3 Mile,,,32565,182097,34500,1723796,Property-Brochure-Johns-Creek-Center.pdf,pdfs/Property-Brochure-Johns-Creek-Center.pdf,2,site_plan_images/reg007-john-s-creek-center-site-plan.png
REG008,Oakleaf Commons,Regency Centers,"1075 Oakleaf Plantation Pkwy, Orange Park, FL 32065","Orange Park, FL",30.1615051,-81.8358882,76517,,,,,14,12,1,1,PUBLIX,45600,59.59459989283428,48400,63.25391743011357,0,0,2800,3.6593175372792976,2800,3.6593175372792976,17018,22.240809231935387,0,0,3 Mile,,,52179,119311,23000,1261881,Property-Brochure-Oakleaf-Commons.pdf,pdfs/Property-Brochure-Oakleaf-Commons.pdf,2,site_plan_images/reg008-oakleaf-commons-site-plan.png
REG009,Powers Ferry Village,Regency Centers,"6300 Powers Ferry Road, Atlanta, GA 30339","Atlanta, GA",33.8724288,-84.3955115,68896,,,,,8,6,0,2,PUBLIX,47955,69.60491175104505,50125,72.75458662,0,0,2560,3.715745471435207,0,0,14807,21.491813748258245,0,0,3 Mile,,,69270,181996,19000,874084,Property-Brochure-Powers-Ferry-Village.pdf,pdfs/Property-Brochure-Powers-Ferry-Village.pdf,2,site_plan_images/reg009-powers-ferry-village-site-plan.png
REG010,Star's at Cambridge,Regency Centers,"699 Mount Auburn Street, Cambridge, MA 02138","Cambridge, MA",42.3753822,-71.1490818,66108,,,,,1,0,0,1,STAR MARKET,66108,100,66108,100,0,0,0,0,0,0,0,0,0,0,3 Mile,,,394913,176444,13534,860514,Property-Brochure-Stars-at-Cambridge.pdf,pdfs/Property-Brochure-Stars-at-Cambridge.pdf,2,site_plan_images/reg010-star-s-at-cambridge-site-plan.png
REG011,Star's at West Roxbury,Regency Centers,"75-77 Spring Street, West Roxbury, MA 02132","West Roxbury, MA",42.2771305,-71.1645881,75932,,,,,9,6,3,1,STAR MARKET,54928,72.33840804930728,55920,73.64484012010747,0,0,9360,12.326818732550176,2625,3.457040509929937,2804,3.6927777485118263,3109,4.094452931570353,3 Mile,,,127761,186321,16864,1053525,Property-Brochure-Stars-at-West-Roxbury.pdf,pdfs/Property-Brochure-Stars-at-West-Roxbury.pdf,2,site_plan_images/reg011-star-s-at-west-roxbury-site-plan.png
REG012,Twin City Plaza,Regency Centers,"14-22 McGrath Hwy, Somerville, MA 02143","Somerville, MA",42.3805091,-71.0900269,285130,,,,,17,6,3,9,STAR MARKET,62500,21.919826044260518,81294,28.511205415073825,11070,3.8824395889594223,41057,14.399396766387262,101064,35.44488478939431,34065,11.94718198716375,16580,5.814891453021429,3 Mile,,,506989,173055,44236,2909943,Property-Brochure-Twin-City-Plaza.pdf,pdfs/Property-Brochure-Twin-City-Plaza.pdf,2,site_plan_images/reg012-twin-city-plaza-site-plan.png
