Project ID,Project Name,Owner,City/State,Unit,Tenant,Tenant SF,Tenant Category,Original Category,Main Mix Group,Size Bucket,Is Grocery,Is Available,Is Anchor by SF,Explicit Anchor,0-10K Store,Manual Check Notes,TJ Address,PDF File,PDF Path,Site Plan Image Path
120630,Publix at Princeton,Kimco,,5,Up Next Salon,1600,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
120630,Publix at Princeton,Kimco,,6,Rio Body Wax Center,1600,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
120630,Publix at Princeton,Kimco,,7,Publix,45600,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
120630,Publix at Princeton,Kimco,,8,America's Best Contacts & [...],3200,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
120630,Publix at Princeton,Kimco,,9,Majestic Nail Spa,1600,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
120630,Publix at Princeton,Kimco,,10,Ellen's Dry Cleaners,1560,Personal Service,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
120630,Publix at Princeton,Kimco,,11,Envegan,1640,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,2,Ross Dress for Less,30000,Apparel,,Soft Goods,10k+,FALSE,FALSE,TRUE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,4,Available,38800,Vacancy,,Vacancy,10k+,FALSE,TRUE,TRUE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,5,Nordstrom Rack,30400,Other,,Other,10k+,FALSE,FALSE,TRUE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,7,Half Price Books,6386,Books & Media,,Hard Goods,3k-10k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,8,Petco,14680,Pet Supply,,Hard Goods,10k+,FALSE,FALSE,TRUE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,9,Whole Foods Market,45489,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,118790-westchase-sc-marketing-package.pdf,,
